id,name,city_id:id
res_locality_1,v.Karaaul,hr_employee_extended_profile.kz_city_3
res_locality_2,v.Kengirbai,hr_employee_extended_profile.kz_city_3
res_locality_3,v.Zhidebai,hr_employee_extended_profile.kz_city_3
res_locality_4,v.Arhat,hr_employee_extended_profile.kz_city_3
res_locality_5,v.Orda,hr_employee_extended_profile.kz_city_3
res_locality_6,v.Kaskabulak,hr_employee_extended_profile.kz_city_3
res_locality_7,v.Borly,hr_employee_extended_profile.kz_city_3
res_locality_8,v.Jurekadyr,hr_employee_extended_profile.kz_city_3
res_locality_9,v.Mendeke,hr_employee_extended_profile.kz_city_3
res_locality_10,v.Janaarna,hr_employee_extended_profile.kz_city_3
res_locality_11,v.Medeu,hr_employee_extended_profile.kz_city_3
res_locality_12,v.Kokbay,hr_employee_extended_profile.kz_city_3
res_locality_13,v.Bayankar,hr_employee_extended_profile.kz_city_3
res_locality_14,v.Ramazan,hr_employee_extended_profile.kz_city_3
res_locality_15,v.Toktamis,hr_employee_extended_profile.kz_city_3
res_locality_16,v.Sarijal,hr_employee_extended_profile.kz_city_3
res_locality_17,v.Aksuat,hr_employee_extended_profile.kz_city_4
res_locality_18,v.Uschilishe,hr_employee_extended_profile.kz_city_4
res_locality_19,v.Ekpin,hr_employee_extended_profile.kz_city_4
res_locality_20,v.Zhanatilek,hr_employee_extended_profile.kz_city_4
res_locality_21,v.Kyzylkayn,hr_employee_extended_profile.kz_city_4
res_locality_22,v.Suttigen,hr_employee_extended_profile.kz_city_4
res_locality_23,v.Hasen,hr_employee_extended_profile.kz_city_4
res_locality_24,v.Chitobe,hr_employee_extended_profile.kz_city_4
res_locality_25,v.Akkala,hr_employee_extended_profile.kz_city_4
res_locality_26,v.Baibalta,hr_employee_extended_profile.kz_city_4
res_locality_27,v.Shubarshi,hr_employee_extended_profile.kz_city_4
res_locality_28,v.Kokzhol,hr_employee_extended_profile.kz_city_4
res_locality_29,v.Aktas,hr_employee_extended_profile.kz_city_4
res_locality_30,v.Berdibay,hr_employee_extended_profile.kz_city_4
res_locality_31,v.Naryn,hr_employee_extended_profile.kz_city_4
res_locality_32,v.Naum,hr_employee_extended_profile.kz_city_4
res_locality_33,v.Akshagyl,hr_employee_extended_profile.kz_city_4
res_locality_34,v.Atakan,hr_employee_extended_profile.kz_city_4
res_locality_35,v.Barlybai,hr_employee_extended_profile.kz_city_4
res_locality_36,v.Bektur,hr_employee_extended_profile.kz_city_4
res_locality_37,v.Besbastau,hr_employee_extended_profile.kz_city_4
res_locality_38,v.Dos,hr_employee_extended_profile.kz_city_4
